titles1,title2,title
After Earth,After Earth,After Earth
Dinosaur,Dinosaur,Dinosaur
Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb
Megamind,Megamind,Megamind
Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher`s Stone,Harry Potter and the Philosopher`s Stone
R.I.P.D.,R.I.P.D.,R.I.P.D.
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl
The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1
The Da Vinci Code,The Da Vinci Code,The Da Vinci Code
Rio 2,Rio 2,Rio 2
X2,X2,X2
Fast Five,Fast Five,Fast Five
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows
Clash of the Titans,Clash of the Titans,Clash of the Titans
Total Recall,Total Recall,Total Recall
The 13th Warrior,The 13th Warrior,The 13th Warrior
The Bourne Legacy,The Bourne Legacy,The Bourne Legacy
Batman & Robin,Batman & Robin,Batman (and) Robin
How the Grinch Stole Christmas,How the Grinch Stole Christmas,How the Grinch Stole Christmas
The Day After Tomorrow,The Day After Tomorrow,The Day After Tomorrow
Mission: Impossible II,Mission: Impossible II,Mission: Impossible II
The Perfect Storm,The Perfect Storm,The Perfect Storm
Fantastic 4: Rise of the Silver Surfer,Fantastic 4: Rise of the Silver Surfer,Fantastic 4: Rise of the Silver Surfer
Life of Pi,Life of Pi,Life of Pi
Ghost Rider,Ghost Rider,Ghost Rider
Jason Bourne,Jason Bourne,Jason Bourne
Charlie's Angels: Full Throttle,Charlie`s Angels: Full Throttle,Charlie`s Angels: Full Throttle
Prometheus,Prometheus,Prometheus
Stuart Little 2,Stuart Little 2,Stuart Little 2
Elysium,Elysium,Elysium
The Chronicles of Riddick,The Chronicles of Riddick,The Chronicles of Riddick
RoboCop,RoboCop,RoboCop
Speed Racer,Speed Racer,Speed Racer
How Do You Know,How Do You Know,How Do You Know
Knight and Day,Knight and Day,Knight and Day
Oblivion,Oblivion,Oblivion
Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith
Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones
"Monsters, Inc.","Monsters, Inc.","Monsters, Inc."
The Wolverine,The Wolverine,The Wolverine
Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace
The Croods,The Croods,The Croods
Asterix at the Olympic Games,Asterix at the Olympic Games,Asterix at the Olympic Games
Windtalkers,Windtalkers,Windtalkers
The Huntsman: Winter's War,The Huntsman: Winter`s War,The Huntsman: Winter`s War
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
Gravity,Gravity,Gravity
Dante's Peak,Dante`s Peak,Dante`s Peak
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows
Fantastic Four,Fantastic Four,Fantastic Four
Night at the Museum,Night at the Museum,Night at the Museum
San Andreas,San Andreas,San Andreas
Tomorrow Never Dies,Tomorrow Never Dies,Tomorrow Never Dies
The Patriot,The Patriot,The Patriot
Ocean's Twelve,Ocean`s Twelve,Ocean`s Twelve
Mr. & Mrs. Smith,Mr. & Mrs. Smith,Mr. (and) Mrs. Smith
Insurgent,Insurgent,Insurgent
The Aviator,The Aviator,The Aviator
Gulliver's Travels,Gulliver`s Travels,Gulliver`s Travels
The Green Hornet,The Green Hornet,The Green Hornet
300: Rise of an Empire,300: Rise of an Empire,300: Rise of an Empire
The Smurfs,The Smurfs,The Smurfs
Home on the Range,Home on the Range,Home on the Range
Allegiant,Allegiant,Allegiant
Real Steel,Real Steel,Real Steel
The Smurfs 2,The Smurfs 2,The Smurfs 2
Speed 2: Cruise Control,Speed 2: Cruise Control,Speed 2: Cruise Control
Ender's Game,Ender`s Game,Ender`s Game
Live Free or Die Hard,Live Free or Die Hard,Live Free or Die Hard
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring
Around the World in 80 Days,Around the World in 80 Days,Around the World in 80 Days
Ali,Ali,Ali
The Cat in the Hat,The Cat in the Hat,The Cat in the Hat
"I, Robot","I, Robot","I, Robot"
Kingdom of Heaven,Kingdom of Heaven,Kingdom of Heaven
Stuart Little,Stuart Little,Stuart Little
The Princess and the Frog,The Princess and the Frog,The Princess and the Frog
The Martian,The Martian,The Martian
The Island,The Island,The Island
Town & Country,Town & Country,Town (and) Country
Gone in Sixty Seconds,Gone in Sixty Seconds,Gone in Sixty Seconds
Gladiator,Gladiator,Gladiator
Minority Report,Minority Report,Minority Report
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets
Casino Royale,Casino Royale,Casino Royale
Planet of the Apes,Planet of the Apes,Planet of the Apes
Terminator 2: Judgment Day,Terminator 2: Judgment Day,Terminator 2: Judgment Day
Public Enemies,Public Enemies,Public Enemies
American Gangster,American Gangster,American Gangster
True Lies,True Lies,True Lies
The Taking of Pelham 1 2 3,The Taking of Pelham 1 2 3,The Taking of Pelham 1 2 3
Little Fockers,Little Fockers,Little Fockers
The Other Guys,The Other Guys,The Other Guys
Eraser,Eraser,Eraser
Django Unchained,Django Unchained,Django Unchained
The Hunchback of Notre Dame,The Hunchback of Notre Dame,The Hunchback of Notre Dame
The Emperor's New Groove,The Emperor`s New Groove,The Emperor`s New Groove
The Expendables 2,The Expendables 2,The Expendables 2
National Treasure,National Treasure,National Treasure
Eragon,Eragon,Eragon
Where the Wild Things Are,Where the Wild Things Are,Where the Wild Things Are
Epic,Epic,Epic
The Tourist,The Tourist,The Tourist
End of Days,End of Days,End of Days
Blood Diamond,Blood Diamond,Blood Diamond
The Wolf of Wall Street,The Wolf of Wall Street,The Wolf of Wall Street
Batman Forever,Batman Forever,Batman Forever
Starship Troopers,Starship Troopers,Starship Troopers
Cloud Atlas,Cloud Atlas,Cloud Atlas
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga`Hoole,Legend of the Guardians: The Owls of Ga`Hoole
Catwoman,Catwoman,Catwoman
Hercules,Hercules,Hercules
Treasure Planet,Treasure Planet,Treasure Planet
Land of the Lost,Land of the Lost,Land of the Lost
The Expendables 3,The Expendables 3,The Expendables 3
Point Break,Point Break,Point Break
Son of the Mask,Son of the Mask,Son of the Mask
In the Heart of the Sea,In the Heart of the Sea,In the Heart of the Sea
The Adventures of Pluto Nash,The Adventures of Pluto Nash,The Adventures of Pluto Nash
Green Zone,Green Zone,Green Zone
The Peanuts Movie,The Peanuts Movie,The Peanuts Movie
The Spanish Prisoner,The Spanish Prisoner,The Spanish Prisoner
The Mummy Returns,The Mummy Returns,The Mummy Returns
Gangs of New York,Gangs of New York,Gangs of New York
The Flowers of War,The Flowers of War,The Flowers of War
Surf's Up,Surf`s Up,Surf`s Up
The Stepford Wives,The Stepford Wives,The Stepford Wives
Black Hawk Down,Black Hawk Down,Black Hawk Down
The Campaign,The Campaign,The Campaign
The Fifth Element,The Fifth Element,The Fifth Element
Sex and the City 2,Sex and the City 2,Sex and the City 2
The Road to El Dorado,The Road to El Dorado,The Road to El Dorado
Ice Age: Continental Drift,Ice Age: Continental Drift,Ice Age: Continental Drift
Cinderella,Cinderella,Cinderella
The Lovely Bones,The Lovely Bones,The Lovely Bones
Finding Nemo,Finding Nemo,Finding Nemo
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers
Seventh Son,Seventh Son,Seventh Son
Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider
Transcendence,Transcendence,Transcendence
Jurassic Park III,Jurassic Park III,Jurassic Park III
Rise of the Planet of the Apes,Rise of the Planet of the Apes,Rise of the Planet of the Apes
The Spiderwick Chronicles,The Spiderwick Chronicles,The Spiderwick Chronicles
A Good Day to Die Hard,A Good Day to Die Hard,A Good Day to Die Hard
The Alamo,The Alamo,The Alamo
The Incredibles,The Incredibles,The Incredibles
Cutthroat Island,Cutthroat Island,Cutthroat Island
Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson (and) the Olympians: The Lightning Thief
Men in Black,Men in Black,Men in Black
Toy Story 2,Toy Story 2,Toy Story 2
Unstoppable,Unstoppable,Unstoppable
Rush Hour 2,Rush Hour 2,Rush Hour 2
What Lies Beneath,What Lies Beneath,What Lies Beneath
Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs
Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs
The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty
Charlie's Angels,Charlie`s Angels,Charlie`s Angels
The Departed,The Departed,The Departed
Mulan,Mulan,Mulan
Tropic Thunder,Tropic Thunder,Tropic Thunder
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
Die Hard: With a Vengeance,Die Hard: With a Vengeance,Die Hard: With a Vengeance
Sherlock Holmes,Sherlock Holmes,Sherlock Holmes
Ben-Hur,Ben-Hur,Ben-Hur
Atlantis: The Lost Empire,Atlantis: The Lost Empire,Atlantis: The Lost Empire
Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip
Valkyrie,Valkyrie,Valkyrie
You Don't Mess with the Zohan,You Don`t Mess with the Zohan,You Don`t Mess with the Zohan
Pixels,Pixels,Pixels
A.I. Artificial Intelligence,A.I. Artificial Intelligence,A.I. Artificial Intelligence
The Haunted Mansion,The Haunted Mansion,The Haunted Mansion
Contact,Contact,Contact
Hollow Man,Hollow Man,Hollow Man
The Interpreter,The Interpreter,The Interpreter
Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters
Lara Croft Tomb Raider: The Cradle of Life,Lara Croft Tomb Raider: The Cradle of Life,Lara Croft Tomb Raider: The Cradle of Life
Now You See Me 2,Now You See Me 2,Now You See Me 2
The Saint,The Saint,The Saint
Spy Game,Spy Game,Spy Game
Mission to Mars,Mission to Mars,Mission to Mars
Rio,Rio,Rio
Bicentennial Man,Bicentennial Man,Bicentennial Man
Volcano,Volcano,Volcano
The Devil's Own,The Devil`s Own,The Devil`s Own
K-19: The Widowmaker,K-19: The Widowmaker,K-19: The Widowmaker
Conan the Barbarian,Conan the Barbarian,Conan the Barbarian
Cinderella Man,Cinderella Man,Cinderella Man
The Nutcracker: The Untold Story,The Nutcracker: The Untold Story,The Nutcracker: The Untold Story
Seabiscuit,Seabiscuit,Seabiscuit
Twister,Twister,Twister
Cast Away,Cast Away,Cast Away
Happy Feet,Happy Feet,Happy Feet
The Bourne Supremacy,The Bourne Supremacy,The Bourne Supremacy
Air Force One,Air Force One,Air Force One
Ocean's Eleven,Ocean`s Eleven,Ocean`s Eleven
The Three Musketeers,The Three Musketeers,The Three Musketeers
Hotel Transylvania,Hotel Transylvania,Hotel Transylvania
Enchanted,Enchanted,Enchanted
Safe House,Safe House,Safe House
102 Dalmatians,102 Dalmatians,102 Dalmatians
Tower Heist,Tower Heist,Tower Heist
The Holiday,The Holiday,The Holiday
Enemy of the State,Enemy of the State,Enemy of the State
It's Complicated,It`s Complicated,It`s Complicated
Ocean's Thirteen,Ocean`s Thirteen,Ocean`s Thirteen
Open Season,Open Season,Open Season
Divergent,Divergent,Divergent
Enemy at the Gates,Enemy at the Gates,Enemy at the Gates
The Rundown,The Rundown,The Rundown
Last Action Hero,Last Action Hero,Last Action Hero
Memoirs of a Geisha,Memoirs of a Geisha,Memoirs of a Geisha
The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift
Arthur Christmas,Arthur Christmas,Arthur Christmas
Meet Joe Black,Meet Joe Black,Meet Joe Black
Collateral Damage,Collateral Damage,Collateral Damage
All That Jazz,All That Jazz,All That Jazz
Mirror Mirror,Mirror Mirror,Mirror Mirror
Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World
The Core,The Core,The Core
Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps
Scooby-Doo,Scooby-Doo,Scooby-Doo
Dredd,Dredd,Dredd
Click,Click,Click
Creepshow,Creepshow,Creepshow
Cats & Dogs 2 : The Revenge of Kitty Galore,Cats & Dogs 2 : The Revenge of Kitty Galore,Cats (and) Dogs 2 : The Revenge of Kitty Galore
Jumper,Jumper,Jumper
Hellboy II: The Golden Army,Hellboy II: The Golden Army,Hellboy II: The Golden Army
Zodiac,Zodiac,Zodiac
The 6th Day,The 6th Day,The 6th Day
Bruce Almighty,Bruce Almighty,Bruce Almighty
The Expendables,The Expendables,The Expendables
Mission: Impossible,Mission: Impossible,Mission: Impossible
The Hunger Games,The Hunger Games,The Hunger Games
The Hangover Part II,The Hangover Part II,The Hangover Part II
Batman Returns,Batman Returns,Batman Returns
Over the Hedge,Over the Hedge,Over the Hedge
Lilo & Stitch,Lilo & Stitch,Lilo (and) Stitch
Charlotte's Web,Charlotte`s Web,Charlotte`s Web
Deep Impact,Deep Impact,Deep Impact
RED 2,RED 2,RED 2
The Longest Yard,The Longest Yard,The Longest Yard
Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked
Grown Ups 2,Grown Ups 2,Grown Ups 2
Get Smart,Get Smart,Get Smart
Something's Gotta Give,Something`s Gotta Give,Something`s Gotta Give
Shutter Island,Shutter Island,Shutter Island
Four Christmases,Four Christmases,Four Christmases
Robots,Robots,Robots
Face/Off,Face/Off,Face/Off
Bedtime Stories,Bedtime Stories,Bedtime Stories
Road to Perdition,Road to Perdition,Road to Perdition
Just Go with It,Just Go with It,Just Go with It
Con Air,Con Air,Con Air
Eagle Eye,Eagle Eye,Eagle Eye
Cold Mountain,Cold Mountain,Cold Mountain
The Book of Eli,The Book of Eli,The Book of Eli
Flubber,Flubber,Flubber
The Haunting,The Haunting,The Haunting
Space Jam,Space Jam,Space Jam
The Pink Panther,The Pink Panther,The Pink Panther
The Day the Earth Stood Still,The Day the Earth Stood Still,The Day the Earth Stood Still
Conspiracy Theory,Conspiracy Theory,Conspiracy Theory
Fury,Fury,Fury
Six Days Seven Nights,Six Days Seven Nights,Six Days Seven Nights
Yogi Bear,Yogi Bear,Yogi Bear
Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron
Zookeeper,Zookeeper,Zookeeper
Lost in Space,Lost in Space,Lost in Space
The Manchurian Candidate,The Manchurian Candidate,The Manchurian Candidate
Déjà Vu,Déjà Vu,Déjà Vu
Hotel Transylvania 2,Hotel Transylvania 2,Hotel Transylvania 2
Fantasia 2000,Fantasia 2000,Fantasia 2000
The Time Machine,The Time Machine,The Time Machine
Mighty Joe Young,Mighty Joe Young,Mighty Joe Young
Swordfish,Swordfish,Swordfish
The Legend of Zorro,The Legend of Zorro,The Legend of Zorro
What Dreams May Come,What Dreams May Come,What Dreams May Come
Little Nicky,Little Nicky,Little Nicky
The Brothers Grimm,The Brothers Grimm,The Brothers Grimm
Mars Attacks!,Mars Attacks!,Mars Attacks!
Evolution,Evolution,Evolution
The Edge,The Edge,The Edge
Surrogates,Surrogates,Surrogates
Thirteen Days,Thirteen Days,Thirteen Days
Daylight,Daylight,Daylight
Walking With Dinosaurs,Walking With Dinosaurs,Walking With Dinosaurs
Battlefield Earth,Battlefield Earth,Battlefield Earth
Looney Tunes: Back in Action,Looney Tunes: Back in Action,Looney Tunes: Back in Action
